round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.047951375003322,5610,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,1.0137369169970043,,ExitStatus.UNKNOWN,1,True,0,STR3,RST,SAC3,True,True,Table,MDD,False,Conflicts,FrbaOnDom
3,1,probing,1.0460425830096938,5499,ExitStatus.FEASIBLE,1,False,0,V,NO,AC,False,False,Tries,Tries,False,OccsR,Lexico
4,2,probing,1.0420795830141287,5635,ExitStatus.FEASIBLE,1,False,5,STR2N,NO,AC,True,True,Bits,MDD,False,Last,Lexico
5,3,probing,1.0291622919903602,,ExitStatus.UNKNOWN,1,True,2,VA,NO,GT,True,True,Bits,Table,False,Last,Rand
6,4,probing,1.0178690000029746,,ExitStatus.UNKNOWN,1,True,0,STR1,NO,BT,False,False,TableHybrid,Table,False,Median,Rand
7,5,probing,1.047206916991854,6199,ExitStatus.FEASIBLE,100,False,5,CMDDO,RST,AC,True,False,Tries,Matrix2D,False,OccsR,Rand
8,6,probing,1.0294027499912772,6131,ExitStatus.FEASIBLE,1,True,2,CMDDO,NO,SAC3,False,False,Bits,Matrix3D,False,OccsR,FrbaOnDom
9,7,probing,0.7362809170008404,8768,ExitStatus.FEASIBLE,1000,True,2,V,RST,GT,True,False,MDD,Matrix2D,True,Median,FrbaOnDom
10,8,probing,1.014967292008805,,ExitStatus.UNKNOWN,10,True,10,CMDDS,NO,AC,False,True,TableHybrid,Matrix2D,False,Conflicts,Memory
11,9,probing,1.0400929169991286,6346,ExitStatus.FEASIBLE,1000,True,1,CT,NO,AC,False,False,Tries,Matrix2D,False,Median,PickOnDom
12,10,probing,1.0136320419987896,,ExitStatus.UNKNOWN,100,False,10,STR0,RST,BT,True,True,Bits,Bits,True,Last,Memory
13,11,probing,1.015632957991329,,ExitStatus.UNKNOWN,1000,False,5,CT,NO,BT,False,False,TableHybrid,Table,True,First,RunRobin
14,12,probing,1.0382440829998814,,ExitStatus.UNKNOWN,1000,True,5,V,NO,AP,False,True,Tries,Table,True,Vals,Impact
15,13,probing,1.0216271669924026,,ExitStatus.UNKNOWN,1,False,10,CMDDO,RST,SAC3,True,True,Matrix3D,Tries,True,Conflicts,RunRobin
16,1,probing,0.7409762080060318,3099,ExitStatus.FEASIBLE,1,False,0,STR1,RST,BT,True,False,Table,Matrix3D,False,Vals,RunRobin
17,2,probing,0.7440889999998035,7016,ExitStatus.FEASIBLE,1,False,0,STR3,RST,GT,True,True,Table,Tries,True,Rand,PickOnDom
18,3,probing,1.0256992500071647,6180,ExitStatus.FEASIBLE,1,False,1,CMDDS,RST,SAC3,True,True,Matrix2D,Bits,False,Median,Impact
19,4,probing,1.0267335410026135,6295,ExitStatus.FEASIBLE,1000,True,1,STR2,RST,AP,False,True,TableHybrid,Table,True,Rand,Impact
20,5,probing,1.016548874991713,,ExitStatus.UNKNOWN,10,False,10,STR1N,NO,BT,False,False,Matrix3D,Matrix3D,True,Conflicts,RunRobin
21,6,probing,1.0242293329938548,6137,ExitStatus.FEASIBLE,10,False,0,STR2,NO,SAC3,True,True,TableHybrid,Tries,True,Vals,WdegOnDom
22,7,probing,1.0293879169912543,6008,ExitStatus.FEASIBLE,1000,False,1,V,RST,AP,False,False,TableHybrid,Table,False,RunRobin,Memory
23,8,probing,1.030353207999724,5719,ExitStatus.FEASIBLE,1000,False,1,V,RST,AP,False,False,MDD,Tries,False,OccsR,Wdeg
24,9,probing,1.032191749996855,,ExitStatus.UNKNOWN,1,False,10,CMDDS,NO,GT,True,False,TableHybrid,Table,False,Median,RunRobin
