round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.038752749998821,5341,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,0.9494538750004722,5673,ExitStatus.FEASIBLE,100,False,1,CMDDS,NO,BT,True,False,Tries,Bits,False,RunRobin,Wdeg
3,3,probing,1.0288669580040732,,ExitStatus.UNKNOWN,1000,True,5,STR1N,RST,GT,False,True,Matrix3D,Table,True,Conflicts,Rand
4,4,probing,1.0130914169858443,,ExitStatus.UNKNOWN,10,False,0,STR0,RST,AC,True,True,Bits,Matrix2D,True,Conflicts,Rand
5,5,probing,1.0370118339924375,5561,ExitStatus.FEASIBLE,1,False,5,STR2N,RST,AC,True,False,Table,MDD,True,RunRobin,PickOnDom
6,6,probing,1.0210530420008581,,ExitStatus.UNKNOWN,1000,False,0,CMDDS,RST,BT,False,False,MDD,Tries,True,Conflicts,Wdeg
7,7,probing,1.0423064170026919,5900,ExitStatus.FEASIBLE,100,False,10,VA,RST,AC,True,False,Tries,MDD,True,RunRobin,Lexico
8,8,probing,1.0466159999923548,5826,ExitStatus.FEASIBLE,1,False,2,STR2,RST,AP,False,True,Matrix3D,Matrix3D,True,Rand,Impact
9,9,probing,1.024908791994676,5880,ExitStatus.FEASIBLE,1,True,5,STR1N,NO,SAC3,True,False,Table,Bits,True,Last,RunRobin
10,10,probing,1.0141826659964863,,ExitStatus.UNKNOWN,100,False,10,CMDDS,NO,BT,False,True,MDD,Table,False,OccsR,Lexico
11,11,probing,1.022042083000997,5834,ExitStatus.FEASIBLE,10,False,2,CMDDO,RST,SAC3,False,False,Matrix3D,Bits,True,Last,WdegOnDom
12,12,probing,1.0208443750016158,,ExitStatus.UNKNOWN,1,True,5,CMDDO,RST,BT,True,True,Tries,Matrix3D,False,Rand,PickOnDom
13,13,probing,1.028800375002902,6643,ExitStatus.FEASIBLE,1000,True,0,V,RST,SAC3,False,True,Tries,Table,True,First,RunRobin
14,14,probing,1.0205236250039889,5614,ExitStatus.FEASIBLE,100,True,5,STR1,NO,AC,False,False,MDD,Table,True,Last,PickOnDom
15,15,probing,0.7582867090095533,7410,ExitStatus.FEASIBLE,100,False,5,CT,RST,GT,False,True,Matrix3D,Tries,True,RunRobin,FrbaOnDom
16,16,probing,1.0455313330021454,5499,ExitStatus.FEASIBLE,1,False,10,STR1,NO,AP,False,False,Tries,Tries,True,OccsR,Impact
17,17,probing,0.6267199580033775,7016,ExitStatus.FEASIBLE,1000,False,0,CMDDS,RST,GT,False,False,Tries,TableHybrid,True,Rand,WdegOnDom
18,18,probing,1.0420922909979708,5719,ExitStatus.FEASIBLE,1000,True,0,STR2N,NO,AC,True,True,Bits,Matrix3D,True,OccsR,Memory
19,19,probing,1.0225760000030277,,ExitStatus.UNKNOWN,10,True,1,STR2,RST,GT,True,False,Matrix2D,Tries,True,Conflicts,Activity
20,20,probing,1.0396227080054814,6240,ExitStatus.FEASIBLE,1000,True,10,STR1N,NO,AC,False,True,Table,Tries,True,Rand,Lexico
21,21,probing,1.0221695829968667,5983,ExitStatus.FEASIBLE,1000,False,5,STR1N,NO,AC,False,True,Tries,Matrix2D,True,Last,FrbaOnDom
22,1,probing,1.0352310410089558,5100,ExitStatus.FEASIBLE,10,True,2,CMDDO,RST,AC,False,False,TableHybrid,MDD,False,OccsR,PickOnDom
23,2,probing,1.0190718329977244,6137,ExitStatus.FEASIBLE,1,True,2,STR0,NO,SAC3,False,False,Tries,MDD,True,Last,PickOnDom
24,3,probing,1.0785835839924403,,ExitStatus.UNKNOWN,1,False,10,CMDDO,NO,BT,True,False,MDD,Table,True,Rand,Impact
25,4,probing,1.0379462919954676,,ExitStatus.UNKNOWN,100,False,5,STR1,RST,GT,False,True,MDD,Table,True,Last,Impact
26,5,probing,1.125401041994337,,ExitStatus.UNKNOWN,1,False,1,V,NO,BT,True,False,MDD,Matrix2D,True,Last,Impact
27,6,probing,1.0926118330098689,5639,ExitStatus.FEASIBLE,10,False,1,STR3,NO,AP,True,True,Table,Matrix2D,True,Last,Impact
28,7,probing,1.0211280420044204,,ExitStatus.UNKNOWN,1,True,10,CMDDO,NO,BT,True,True,TableHybrid,Bits,False,Conflicts,Rand
29,8,probing,1.0196442500018748,,ExitStatus.UNKNOWN,100,True,1,V,RST,BT,True,False,Tries,TableHybrid,True,Rand,Impact
30,9,probing,1.0346097500005271,6109,ExitStatus.FEASIBLE,1,True,5,CT,RST,SAC3,False,True,Matrix3D,Bits,True,Rand,Lexico
31,10,probing,1.0340013329987414,5698,ExitStatus.FEASIBLE,100,True,5,CMDDS,NO,AP,True,False,MDD,Bits,True,RunRobin,WdegOnDom
32,11,probing,1.011103084005299,,ExitStatus.UNKNOWN,1,False,1,CT,NO,BT,True,True,MDD,TableHybrid,False,Conflicts,FrbaOnDom
33,12,probing,1.031013708008686,5834,ExitStatus.FEASIBLE,10,False,0,STR2N,RST,SAC3,True,True,MDD,Matrix3D,False,Median,RunRobin
34,13,probing,1.0214971660025185,5535,ExitStatus.FEASIBLE,10,True,2,STR2N,NO,AC,True,False,TableHybrid,MDD,False,Last,RunRobin
35,14,probing,1.0350716669927351,6137,ExitStatus.FEASIBLE,100,False,10,CT,NO,SAC3,True,True,MDD,MDD,True,First,Memory
