round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.049555250006961,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,5.012722041006782,6137,ExitStatus.FEASIBLE,100,False,5,STR1,NO,SAC3,False,True,MDD,Bits,True,First,Memory
3,3,probing,6.028773416997865,,ExitStatus.UNKNOWN,1000,False,5,STR2,NO,GT,False,False,Table,TableHybrid,True,First,Rand
4,4,probing,7.020896792004351,,ExitStatus.UNKNOWN,1,True,5,STR2,NO,BT,True,False,Matrix2D,MDD,False,Rand,Activity
5,5,probing,9.0170054170012,,ExitStatus.UNKNOWN,10,True,1,STR2N,NO,GT,True,True,TableHybrid,Matrix2D,False,OccsR,Rand
6,6,probing,11.01789070799714,,ExitStatus.UNKNOWN,1000,True,5,V,NO,BT,True,True,MDD,Bits,True,RunRobin,Impact
7,7,probing,13.01779087500472,,ExitStatus.UNKNOWN,100,False,10,V,RST,AC,True,False,Bits,Matrix3D,True,Conflicts,WdegOnDom
8,8,probing,0.7678217500069877,7016,ExitStatus.FEASIBLE,1,True,1,STR0,RST,GT,True,True,Table,Bits,True,Rand,WdegOnDom
9,9,probing,20.016375958002754,,ExitStatus.UNKNOWN,100,False,2,CT,NO,AP,False,True,Bits,Bits,True,Conflicts,Rand
10,10,probing,24.017005375004373,,ExitStatus.UNKNOWN,10,True,5,VA,NO,GT,False,False,MDD,Tries,True,Last,Lexico
11,11,probing,29.017876041005366,6137,ExitStatus.FEASIBLE,10,False,5,STR2,NO,SAC3,True,True,MDD,Tries,False,OccsR,Memory
12,12,probing,36.01520658300433,6137,ExitStatus.FEASIBLE,1,True,1,CT,RST,SAC3,True,False,Table,Table,False,Vals,Lexico
13,13,probing,43.01516479199927,6109,ExitStatus.FEASIBLE,1000,True,1,STR1N,RST,SAC3,False,True,MDD,Bits,True,Rand,Lexico
14,14,probing,52.01055241700669,6735,ExitStatus.FEASIBLE,100,True,0,STR0,RST,SAC3,False,True,Tries,Tries,False,Rand,RunRobin
No Round,No Stagnation Round,solving,5.0021717500058,5099,ExitStatus.OPTIMAL,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
