round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.072230791993206,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.01764395799546,6314,ExitStatus.FEASIBLE,100,False,2,STR0,NO,SAC3,False,True,MDD,MDD,True,Rand,RunRobin
3,3,probing,4.013606291991891,6641,ExitStatus.FEASIBLE,1,True,2,STR0,NO,SAC3,True,True,Matrix3D,Bits,False,Rand,Wdeg
4,4,probing,4.471434916995349,5099,ExitStatus.OPTIMAL,10,True,10,CMDDS,RST,AP,False,False,Table,Tries,False,Last,FrbaOnDom
5,1,probing,0.7516397080034949,0,ExitStatus.FEASIBLE,10,True,5,STR1N,RST,GT,False,True,Tries,Tries,True,Vals,RunRobin
6,2,probing,4.012743332990794,5881,ExitStatus.FEASIBLE,10,False,2,V,NO,SAC3,False,True,Table,Matrix3D,False,Vals,Wdeg
7,3,probing,9.017264249996515,,ExitStatus.UNKNOWN,1000,True,5,STR2,NO,SAC3,False,True,Matrix2D,MDD,True,Conflicts,Impact
8,4,probing,0.8151526250003371,13572,ExitStatus.FEASIBLE,1,True,0,STR2N,RST,GT,True,False,Matrix3D,MDD,True,Last,PickOnDom
9,5,probing,4.011572791001527,,ExitStatus.UNKNOWN,100,True,5,V,RST,BT,False,True,Matrix3D,Matrix3D,True,Vals,Rand
No Round,No Stagnation Round,solving,0.6763197079999372,0,ExitStatus.FEASIBLE,10,True,5,STR1N,RST,GT,False,True,Tries,Tries,True,Vals,RunRobin
