round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.0376900830015074,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.02509412499785,6126,ExitStatus.FEASIBLE,1000,False,5,STR1N,NO,SAC3,True,False,TableHybrid,Matrix2D,False,Median,FrbaOnDom
3,3,probing,0.8185240419988986,8768,ExitStatus.FEASIBLE,10,True,2,CMDDS,RST,GT,True,True,Table,Table,True,Median,WdegOnDom
4,4,probing,0.7576600419997703,13572,ExitStatus.FEASIBLE,100,False,1,STR1,RST,GT,False,True,Matrix2D,Table,False,Last,WdegOnDom
5,5,probing,4.0288354590011295,,ExitStatus.UNKNOWN,1000,True,1,STR2,RST,AP,True,False,MDD,Table,True,Conflicts,Lexico
6,6,probing,2.1557427080115303,5210,ExitStatus.OPTIMAL,1000,True,2,VA,NO,AC,False,False,Bits,TableHybrid,False,Median,Memory
7,7,probing,4.239916834005271,5099,ExitStatus.OPTIMAL,10,True,2,STR1,RST,AC,True,True,TableHybrid,MDD,False,Vals,FrbaOnDom
8,8,probing,13.44474416700541,5099,ExitStatus.OPTIMAL,1,True,10,STR3,RST,AC,True,False,MDD,Matrix3D,False,RunRobin,RunRobin
9,9,probing,4.0215699580003275,,ExitStatus.UNKNOWN,10,False,10,STR1,RST,SAC3,False,False,Tries,Matrix3D,False,Conflicts,Activity
10,10,probing,1.4896659170044586,6336,ExitStatus.FEASIBLE,1,True,10,STR1N,NO,BT,False,True,Matrix3D,Bits,True,Vals,RunRobin
11,11,probing,9.024412833998213,,ExitStatus.UNKNOWN,10,False,10,CT,RST,AC,False,True,MDD,Tries,False,Conflicts,Wdeg
12,12,probing,4.01490675000241,,ExitStatus.UNKNOWN,100,True,0,STR1,RST,BT,False,True,Table,Matrix3D,False,Conflicts,Lexico
13,13,probing,4.014969458003179,,ExitStatus.UNKNOWN,10,False,10,CT,NO,GT,True,True,Table,Bits,True,Rand,Impact
14,14,probing,0.6610471250023693,13572,ExitStatus.FEASIBLE,10,False,5,STR2,RST,GT,True,False,Table,Matrix3D,True,Last,Wdeg
15,15,probing,19.010304042007192,5834,ExitStatus.FEASIBLE,10,True,0,CMDDO,RST,SAC3,False,True,Bits,Matrix2D,True,OccsR,PickOnDom
16,16,probing,39.026660583986086,,ExitStatus.UNKNOWN,100,False,10,STR2N,RST,GT,True,True,Matrix3D,Table,False,Median,Lexico
17,17,probing,4.037023625001893,5437,ExitStatus.FEASIBLE,1,True,2,CMDDS,NO,AC,True,False,Table,TableHybrid,True,Last,Rand
18,18,probing,4.033432583993999,5754,ExitStatus.FEASIBLE,10,True,1,STR2,NO,AP,True,True,Tries,Bits,False,OccsR,Activity
19,19,probing,9.037150084011955,5424,ExitStatus.FEASIBLE,1,True,0,STR2,NO,AC,True,True,Tries,Matrix3D,True,Rand,WdegOnDom
20,20,probing,4.027321582994773,,ExitStatus.UNKNOWN,10,False,10,V,RST,AC,False,True,Table,TableHybrid,True,Conflicts,RunRobin
21,21,probing,1.1951721670047846,7145,ExitStatus.FEASIBLE,1,False,1,CMDDS,NO,BT,False,False,Bits,MDD,False,OccsR,FrbaOnDom
22,22,probing,9.014328833000036,6137,ExitStatus.FEASIBLE,1000,True,1,STR1N,NO,SAC3,True,False,Bits,Table,True,RunRobin,Activity
23,23,probing,19.025854584004264,,ExitStatus.UNKNOWN,1000,True,10,CMDDO,RST,GT,False,True,Matrix3D,Bits,True,Conflicts,Impact
24,24,probing,4.039531500005978,5326,ExitStatus.FEASIBLE,1,True,0,STR1,RST,AP,False,True,Matrix2D,Tries,True,Last,Lexico
25,25,probing,4.029907041011029,,ExitStatus.UNKNOWN,1000,True,0,CT,RST,AC,False,False,Tries,Table,True,Conflicts,Rand
26,26,probing,9.028661208008998,,ExitStatus.UNKNOWN,1000,False,0,CMDDS,NO,BT,True,True,Tries,Table,False,Vals,Rand
27,27,probing,0.6144986250001239,7016,ExitStatus.FEASIBLE,10,False,2,STR1N,RST,GT,True,True,Bits,MDD,False,Rand,RunRobin
28,28,probing,4.037187624999206,5873,ExitStatus.FEASIBLE,1,False,5,STR1,NO,AC,False,True,TableHybrid,Table,False,First,Impact
29,29,probing,9.02452966698911,,ExitStatus.UNKNOWN,100,False,0,STR2N,NO,GT,False,False,MDD,Matrix2D,False,Conflicts,RunRobin
30,30,probing,19.041457875006017,5658,ExitStatus.FEASIBLE,1000,False,10,VA,RST,AC,False,True,MDD,Matrix2D,False,OccsR,Rand
31,31,probing,16.428183249998256,5100,ExitStatus.OPTIMAL,10,False,5,CT,NO,AP,True,True,TableHybrid,TableHybrid,True,First,RunRobin
No Round,No Stagnation Round,solving,4.758308417003718,5099,ExitStatus.OPTIMAL,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
