round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.076246374999755,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,4.043757457999163,6137,ExitStatus.FEASIBLE,100,False,2,CMDDS,RST,SAC3,False,False,Tries,Tries,False,Vals,Activity
3,3,probing,4.018001165997703,,ExitStatus.UNKNOWN,1,False,1,CMDDS,NO,BT,True,True,Tries,MDD,True,Conflicts,Impact
4,4,probing,4.040238082990982,6064,ExitStatus.FEASIBLE,10,False,10,CMDDO,NO,AC,True,False,TableHybrid,MDD,True,OccsR,Rand
5,5,probing,4.017746249999618,,ExitStatus.UNKNOWN,1000,True,2,V,RST,BT,True,True,Table,TableHybrid,True,OccsR,Impact
6,6,probing,4.016147540998645,6316,ExitStatus.FEASIBLE,100,False,1,STR1,RST,SAC3,False,True,TableHybrid,Table,False,Rand,Activity
7,7,probing,4.045495042009861,5106,ExitStatus.FEASIBLE,10,False,2,STR3,NO,AP,False,False,Matrix3D,TableHybrid,False,Median,Wdeg
8,8,probing,4.018798208999215,6184,ExitStatus.FEASIBLE,1,True,1,CMDDO,RST,SAC3,False,True,Table,Matrix3D,False,OccsR,Rand
9,9,probing,4.015956125003868,6137,ExitStatus.FEASIBLE,1,False,1,STR1,RST,SAC3,True,False,Matrix3D,Bits,False,First,FrbaOnDom
10,10,probing,0.7316361660050461,7127,ExitStatus.FEASIBLE,1,False,1,VA,RST,GT,False,False,TableHybrid,Bits,True,OccsR,WdegOnDom
11,1,probing,0.8606467920035357,0,ExitStatus.FEASIBLE,100,False,2,VA,RST,GT,False,True,Tries,Matrix2D,True,Vals,Wdeg
12,2,probing,4.033904374999111,5424,ExitStatus.FEASIBLE,1,True,5,STR3,NO,AC,False,False,Bits,Matrix2D,True,Median,WdegOnDom
13,3,probing,1.106721666001249,5673,ExitStatus.FEASIBLE,1000,True,1,V,RST,BT,True,True,Bits,TableHybrid,False,RunRobin,Wdeg
14,4,probing,4.114257583001745,5435,ExitStatus.FEASIBLE,10,True,0,STR0,RST,AP,True,False,Matrix3D,Bits,False,Rand,RunRobin
15,5,probing,1.966450583000551,6483,ExitStatus.FEASIBLE,10,False,1,STR2,RST,BT,True,False,Matrix3D,Table,False,First,WdegOnDom
16,6,probing,3.788242624999839,5099,ExitStatus.OPTIMAL,1,False,0,STR2N,RST,AC,True,False,MDD,Bits,True,RunRobin,FrbaOnDom
17,7,probing,4.040682874998311,5534,ExitStatus.FEASIBLE,1,True,1,VA,NO,AC,True,False,Matrix2D,MDD,False,Last,Wdeg
18,8,probing,0.9685999999928754,13572,ExitStatus.FEASIBLE,1,True,10,CMDDS,NO,GT,False,False,Bits,Tries,False,RunRobin,Wdeg
19,9,probing,4.015103582991287,6137,ExitStatus.FEASIBLE,1000,True,0,CMDDO,RST,SAC3,False,False,Matrix3D,Matrix3D,True,OccsR,WdegOnDom
20,10,probing,4.040436499999487,6240,ExitStatus.FEASIBLE,1000,True,10,STR2,NO,AP,False,True,Matrix2D,Table,False,Rand,Lexico
21,11,probing,4.037106209012563,6030,ExitStatus.FEASIBLE,1000,True,1,STR1N,NO,AC,True,True,Matrix3D,Bits,False,Vals,RunRobin
22,12,probing,4.0334271669999,5424,ExitStatus.FEASIBLE,1,True,2,VA,NO,AC,True,True,MDD,Bits,True,Median,Wdeg
23,13,probing,4.035761040999205,5437,ExitStatus.FEASIBLE,10,False,5,STR1N,NO,AC,True,True,Tries,Bits,False,RunRobin,RunRobin
24,14,probing,4.04046291699342,5875,ExitStatus.FEASIBLE,10,False,5,CT,NO,AC,True,False,Table,Table,True,First,Impact
25,15,probing,4.039739500003634,5375,ExitStatus.FEASIBLE,100,True,2,VA,RST,AP,False,False,Table,TableHybrid,True,Median,Lexico
26,16,probing,4.023439332988346,,ExitStatus.UNKNOWN,1000,False,2,V,RST,GT,True,True,Matrix3D,MDD,True,Conflicts,Impact
27,17,probing,1.7501347079960397,6483,ExitStatus.FEASIBLE,1000,True,1,STR3,RST,BT,True,True,Matrix2D,MDD,False,First,PickOnDom
28,18,probing,4.009393749991432,6137,ExitStatus.FEASIBLE,1,True,1,CT,RST,SAC3,False,True,MDD,Table,True,RunRobin,Lexico
29,19,probing,1.3196093750011642,5983,ExitStatus.OPTIMAL,1000,True,10,STR2,RST,AP,False,True,TableHybrid,Matrix2D,True,Last,FrbaOnDom
30,20,probing,4.032860040999367,6137,ExitStatus.FEASIBLE,1000,True,5,STR2N,RST,AC,False,True,Matrix3D,TableHybrid,True,First,Lexico
31,21,probing,4.039388790988596,5319,ExitStatus.FEASIBLE,10,True,0,CMDDS,RST,AC,True,False,Table,TableHybrid,False,Last,Lexico
32,22,probing,1.1062851669994416,5958,ExitStatus.FEASIBLE,1,True,5,STR1N,NO,BT,False,False,Tries,Matrix3D,True,Last,WdegOnDom
33,23,probing,4.013303833999089,5849,ExitStatus.FEASIBLE,100,False,10,STR1N,RST,SAC3,True,True,Tries,Matrix3D,True,RunRobin,Rand
34,24,probing,4.025047250004718,,ExitStatus.UNKNOWN,10,False,2,STR3,RST,GT,False,False,Bits,TableHybrid,True,Rand,Memory
35,25,probing,4.039472624994232,5099,ExitStatus.FEASIBLE,1,False,5,STR0,NO,AP,False,True,Matrix2D,Bits,False,Median,FrbaOnDom
36,2,probing,0.6158151249983348,0,ExitStatus.FEASIBLE,100,True,0,V,RST,GT,True,False,Table,Table,False,Vals,Wdeg
37,3,probing,4.040934124990599,5754,ExitStatus.FEASIBLE,10,False,2,CT,NO,AC,False,False,Matrix3D,Bits,False,OccsR,Activity
38,4,probing,4.020817374999751,5825,ExitStatus.FEASIBLE,100,False,1,STR2,NO,AC,False,False,MDD,Table,False,Median,Activity
39,5,probing,4.038133791007567,5438,ExitStatus.FEASIBLE,10,False,5,STR0,NO,AP,False,True,Table,MDD,True,RunRobin,Wdeg
40,6,probing,4.037098957996932,5099,ExitStatus.FEASIBLE,1,False,2,STR1N,NO,AP,False,False,Matrix2D,Bits,True,OccsR,Memory
41,7,probing,4.037894041000982,5099,ExitStatus.FEASIBLE,1,False,2,STR1,RST,AC,False,False,Table,MDD,False,First,RunRobin
42,8,probing,4.013954208989162,,ExitStatus.UNKNOWN,1,False,10,CMDDS,NO,GT,True,True,Matrix2D,Matrix3D,False,Last,Rand
43,2,probing,0.6022597080009291,0,ExitStatus.FEASIBLE,100,True,0,CMDDS,NO,GT,False,False,Tries,Bits,True,First,WdegOnDom
44,3,probing,4.024143582995748,,ExitStatus.UNKNOWN,100,False,5,STR2N,RST,SAC3,False,True,Matrix2D,Matrix2D,False,Conflicts,RunRobin
45,4,probing,4.038423999998486,5100,ExitStatus.FEASIBLE,100,True,2,STR2N,RST,AP,True,True,Matrix3D,MDD,True,First,Wdeg
46,5,probing,4.009917999996105,6126,ExitStatus.FEASIBLE,10,False,0,CMDDS,NO,SAC3,True,True,MDD,Matrix2D,True,Median,FrbaOnDom
47,6,probing,4.011123125004815,,ExitStatus.UNKNOWN,1,False,0,STR2N,NO,BT,False,False,Matrix2D,Bits,False,Rand,Rand
48,7,probing,4.014750417001778,6137,ExitStatus.FEASIBLE,100,False,1,STR3,NO,SAC3,True,False,Table,Tries,False,First,Activity
49,8,probing,4.014428166003199,,ExitStatus.UNKNOWN,1,False,5,CT,NO,GT,True,True,TableHybrid,Table,False,Median,Impact
50,9,probing,4.014598082998418,,ExitStatus.UNKNOWN,100,False,5,STR2,NO,BT,False,False,Table,Matrix3D,False,Rand,Rand
51,10,probing,4.025079208004172,5534,ExitStatus.FEASIBLE,1,False,2,STR3,NO,AP,True,False,Tries,Tries,True,Last,PickOnDom
52,11,probing,4.01587583401124,,ExitStatus.UNKNOWN,1,True,0,STR2N,NO,SAC3,False,False,Matrix2D,Table,False,Conflicts,Activity
53,12,probing,4.035976541999844,6090,ExitStatus.FEASIBLE,100,True,1,STR2N,NO,AC,False,False,TableHybrid,Matrix2D,True,OccsR,Rand
54,13,probing,4.013372874993365,5834,ExitStatus.FEASIBLE,10,True,10,STR2,RST,SAC3,False,True,TableHybrid,Tries,True,Median,RunRobin
55,14,probing,4.029995916993357,5140,ExitStatus.FEASIBLE,100,True,1,STR0,NO,AC,True,True,TableHybrid,Bits,False,Last,Memory
56,15,probing,0.6274122080067173,7127,ExitStatus.FEASIBLE,100,False,2,VA,NO,GT,False,False,Table,MDD,True,OccsR,Wdeg
57,16,probing,4.02979349999805,,ExitStatus.UNKNOWN,10,True,0,STR0,NO,GT,False,True,Table,Table,True,OccsR,Activity
58,17,probing,1.0554490420036018,5592,ExitStatus.FEASIBLE,10,False,10,STR2N,NO,BT,True,False,Tries,MDD,False,Rand,PickOnDom
59,18,probing,4.016209125009482,5752,ExitStatus.FEASIBLE,1,True,5,VA,NO,AP,True,False,TableHybrid,TableHybrid,True,First,Impact
60,19,probing,0.7892675420007436,6660,ExitStatus.FEASIBLE,100,False,2,STR1N,NO,BT,True,False,Table,Matrix3D,True,Last,WdegOnDom
61,20,probing,4.026045083999634,5099,ExitStatus.FEASIBLE,10,False,2,VA,RST,AP,True,True,Matrix3D,Bits,True,OccsR,Wdeg
62,21,probing,4.038758291993872,5555,ExitStatus.FEASIBLE,100,True,1,STR1N,RST,AP,False,False,Bits,Table,True,First,Lexico
63,22,probing,4.01490537499194,,ExitStatus.UNKNOWN,10,False,0,V,NO,AP,False,False,TableHybrid,TableHybrid,True,Conflicts,Rand
64,23,probing,4.033747041001334,5810,ExitStatus.FEASIBLE,100,False,5,STR2,NO,AP,True,False,Tries,MDD,True,First,Activity
65,24,probing,4.032027292007115,5115,ExitStatus.FEASIBLE,100,False,10,STR1N,RST,AP,False,False,MDD,Matrix2D,False,Rand,FrbaOnDom
66,25,probing,4.026467624993529,5417,ExitStatus.FEASIBLE,10,False,2,CMDDS,RST,AC,True,False,MDD,TableHybrid,True,Rand,Lexico
67,26,probing,4.033854416004033,6060,ExitStatus.FEASIBLE,1000,False,10,V,RST,AC,False,True,Table,Bits,True,First,Wdeg
68,27,probing,4.015753917003167,,ExitStatus.UNKNOWN,100,True,0,CT,RST,BT,False,False,Table,MDD,False,Median,Lexico
