round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.0559577499952866,5610,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,1.033549125000718,,ExitStatus.UNKNOWN,1000,True,5,STR2,RST,SAC3,False,True,TableHybrid,Tries,False,First,PickOnDom
3,3,probing,1.0326916670019273,,ExitStatus.UNKNOWN,100,True,5,CT,NO,SAC3,True,True,TableHybrid,Matrix3D,True,Rand,Impact
4,4,probing,1.012651333003305,,ExitStatus.UNKNOWN,10,False,10,STR1N,RST,SAC3,False,False,TableHybrid,Tries,False,Conflicts,Lexico
5,5,probing,1.0307889579999028,6131,ExitStatus.FEASIBLE,100,True,0,STR2,NO,SAC3,True,True,Table,TableHybrid,True,OccsR,Activity
6,6,probing,1.0274101670074742,,ExitStatus.UNKNOWN,10,True,0,CMDDS,NO,AP,True,False,Bits,Bits,True,Conflicts,Memory
7,7,probing,0.7812221249914728,8394,ExitStatus.FEASIBLE,1000,True,0,STR1,NO,BT,False,False,TableHybrid,Bits,False,Last,PickOnDom
8,8,probing,1.0196861250005895,,ExitStatus.UNKNOWN,1,True,5,STR1N,NO,SAC3,True,True,MDD,Tries,False,Conflicts,Memory
9,9,probing,1.0152760000055423,,ExitStatus.UNKNOWN,1000,True,1,V,NO,GT,True,False,Tries,Table,True,Conflicts,WdegOnDom
10,10,probing,1.0470032919984078,5826,ExitStatus.FEASIBLE,1,True,1,CMDDS,RST,AC,False,True,MDD,TableHybrid,True,Rand,Impact
No Round,No Stagnation Round,solving,5.66211991700402,5099,ExitStatus.OPTIMAL,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
