round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,1.0418460829969263,5610,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,2,probing,1.0361377919907682,5613,ExitStatus.FEASIBLE,10,True,0,VA,NO,AC,False,True,Table,Matrix2D,True,RunRobin,FrbaOnDom
3,1,probing,1.0487917920108885,5221,ExitStatus.FEASIBLE,100,False,5,CT,NO,AP,True,False,MDD,Table,True,OccsR,WdegOnDom
4,2,probing,1.0230085410003085,,ExitStatus.UNKNOWN,100,False,2,STR1,RST,BT,True,True,Tries,Table,True,Median,Memory
5,3,probing,1.0475018750003073,,ExitStatus.UNKNOWN,1000,True,10,STR2N,NO,AC,False,False,TableHybrid,TableHybrid,False,RunRobin,Memory
6,4,probing,1.0314135420048842,,ExitStatus.UNKNOWN,1000,True,5,STR1,RST,SAC3,True,True,Matrix3D,MDD,True,First,Memory
7,5,probing,1.0292393330018967,,ExitStatus.UNKNOWN,1000,True,5,STR2,RST,BT,False,False,Tries,Table,False,Median,Impact
8,6,probing,1.0448607500002254,6030,ExitStatus.FEASIBLE,1000,True,1,V,NO,AP,False,False,TableHybrid,Tries,True,Vals,RunRobin
9,7,probing,1.0299311249982566,,ExitStatus.UNKNOWN,1000,False,5,STR2N,RST,BT,False,False,Table,MDD,True,RunRobin,PickOnDom
10,8,probing,1.028835999997682,,ExitStatus.UNKNOWN,1,False,0,STR2,RST,BT,False,True,TableHybrid,Bits,False,Vals,Activity
11,9,probing,0.7781145000044489,6324,ExitStatus.FEASIBLE,10,False,0,STR0,NO,BT,False,False,Table,Matrix2D,False,First,FrbaOnDom
12,10,probing,1.043367959005991,6047,ExitStatus.FEASIBLE,1000,False,10,CT,RST,AC,True,True,MDD,Table,False,RunRobin,WdegOnDom
13,11,probing,1.0412092919868883,5710,ExitStatus.FEASIBLE,100,True,2,VA,NO,AC,True,False,TableHybrid,Matrix2D,True,First,RunRobin
14,12,probing,0.752399791002972,7016,ExitStatus.FEASIBLE,10,True,1,STR2N,NO,GT,False,False,MDD,Bits,True,Rand,PickOnDom
15,13,probing,1.0494458339962875,5437,ExitStatus.FEASIBLE,10,False,5,CT,NO,AP,False,True,Matrix2D,Bits,True,Rand,WdegOnDom
16,14,probing,1.0357920419919537,5624,ExitStatus.FEASIBLE,10,False,0,VA,RST,AC,False,True,Matrix3D,Bits,False,RunRobin,Memory
17,15,probing,1.021395333998953,,ExitStatus.UNKNOWN,1000,True,5,STR0,RST,SAC3,True,False,Matrix3D,MDD,True,Median,Activity
18,16,probing,1.0156206660030875,,ExitStatus.UNKNOWN,100,False,5,STR3,RST,BT,False,True,Matrix3D,Matrix2D,True,Conflicts,PickOnDom
19,17,probing,1.0138657079951372,,ExitStatus.UNKNOWN,10,False,2,VA,NO,BT,True,False,Matrix3D,Tries,True,Last,Lexico
20,18,probing,1.041166584007442,5646,ExitStatus.FEASIBLE,1,False,10,STR0,NO,AP,False,True,Table,Matrix3D,False,Vals,Memory
21,19,probing,0.833251999996719,7127,ExitStatus.FEASIBLE,1,False,2,STR2,NO,GT,True,False,Tries,Matrix2D,True,OccsR,PickOnDom
22,20,probing,1.0165767089929432,5834,ExitStatus.FEASIBLE,10,True,5,STR1,RST,SAC3,False,True,TableHybrid,Matrix2D,False,Median,WdegOnDom
23,21,probing,1.0270330000057584,6137,ExitStatus.FEASIBLE,1000,True,5,STR1N,NO,SAC3,False,True,MDD,Bits,True,Vals,WdegOnDom
