round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
1,1,probing,4.0488924579985905,5099,ExitStatus.FEASIBLE,1,True,2,V,RST,AC,True,False,Bits,Matrix3D,False,First,Wdeg
2,1,probing,0.8116326669987757,0,ExitStatus.FEASIBLE,100,False,5,STR3,RST,GT,False,True,Matrix3D,TableHybrid,False,RunRobin,WdegOnDom
3,2,probing,4.014846042002318,,ExitStatus.UNKNOWN,100,False,10,STR3,RST,GT,False,True,Table,Matrix2D,False,Vals,Impact
4,2,probing,0.7710189589997754,0,ExitStatus.OPTIMAL,1,True,1,CMDDS,RST,GT,True,True,Table,MDD,True,RunRobin,FrbaOnDom
5,3,probing,4.013681249998626,,ExitStatus.UNKNOWN,10,True,2,STR2,NO,GT,True,False,MDD,Table,False,Median,Lexico
6,4,probing,4.0879125829960685,5099,ExitStatus.FEASIBLE,1,False,2,STR2,RST,AP,False,False,TableHybrid,Bits,False,First,WdegOnDom
7,5,probing,1.0599614160018973,6376,ExitStatus.FEASIBLE,10,False,2,STR1,NO,BT,True,True,Matrix3D,Tries,False,OccsR,PickOnDom
8,6,probing,4.022752582997782,5997,ExitStatus.FEASIBLE,10,False,2,VA,RST,SAC3,True,False,TableHybrid,MDD,False,First,PickOnDom
9,7,probing,4.096786417008843,5873,ExitStatus.FEASIBLE,1,False,1,CT,NO,AC,False,True,TableHybrid,Matrix3D,True,RunRobin,Lexico
10,8,probing,4.0477782920061145,5099,ExitStatus.FEASIBLE,1,False,10,STR3,NO,AP,False,False,TableHybrid,Tries,True,OccsR,Memory
11,9,probing,4.037751291994937,5099,ExitStatus.FEASIBLE,10,False,10,STR0,NO,AC,False,True,Tries,Matrix3D,False,OccsR,WdegOnDom
12,10,probing,4.018034374996205,,ExitStatus.UNKNOWN,100,True,10,CMDDO,RST,BT,False,False,Table,Tries,True,RunRobin,Rand
No Round,No Stagnation Round,solving,0.7948687079915544,0,ExitStatus.OPTIMAL,1,True,1,CMDDS,RST,GT,True,True,Table,MDD,True,RunRobin,FrbaOnDom
