round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,ng,p,pc1,saf,toh,valh,varh
0,N/A,Hamming,7.890476165979635,4695,ExitStatus.OPTIMAL,1,True,2,RST,AC,True,False,False,First,Wdeg
1,N/A,Hamming,6.0438016669941135,4695,ExitStatus.FEASIBLE,1,True,2,RST,AC,True,False,False,First,Wdeg
2,N/A,Hamming,5.056519125006162,4695,ExitStatus.FEASIBLE,1,True,5,RST,AC,True,False,False,First,Wdeg
3,N/A,Hamming,4.089805833005812,4695,ExitStatus.FEASIBLE,1,True,5,RST,AC,True,False,False,Vals,Wdeg
4,N/A,Hamming,3.04123862501001,4865,ExitStatus.FEASIBLE,1,True,5,RST,AC,True,False,False,Vals,Impact
5,N/A,Hamming,2.0400299159809947,5797,ExitStatus.FEASIBLE,100,True,5,RST,AC,True,False,False,Vals,Impact
6,N/A,Hamming,1.050813791982364,5501,ExitStatus.FEASIBLE,100,True,5,RST,AC,True,False,False,Vals,Memory
7,N/A,Hamming,0.0047022500075399876,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,Wdeg
8,N/A,Hamming,0.005865374987479299,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,True,Vals,Memory
9,N/A,Hamming,0.004553999984636903,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,PickOnDom
10,N/A,Hamming,0.004837417043745518,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,FrbaOnDom
11,N/A,Hamming,0.004908083006739616,,ExitStatus.UNKNOWN,1,True,5,RST,AC,True,False,False,Vals,Memory
12,N/A,Hamming,0.004506666969973594,,ExitStatus.UNKNOWN,100,True,5,RST,AC,False,False,False,Vals,Memory
13,N/A,Hamming,0.004509540973231196,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,Lexico
14,N/A,Hamming,0.004730957967694849,,ExitStatus.UNKNOWN,100,True,10,RST,AC,True,False,False,Vals,Memory
15,N/A,Hamming,0.004566374991554767,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,RunRobin
16,N/A,Hamming,0.004317582992371172,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,Rand
17,N/A,Hamming,0.004534625040832907,,ExitStatus.UNKNOWN,100,True,1,RST,AC,True,False,False,Vals,Memory
18,N/A,Hamming,0.004923541971947998,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,First,Memory
19,N/A,Hamming,0.006791250023525208,,ExitStatus.UNKNOWN,100,True,2,RST,AC,True,False,False,Vals,Memory
20,N/A,Hamming,0.012142916966695338,,ExitStatus.UNKNOWN,100,True,5,RST,GT,True,False,False,Vals,Memory
21,N/A,Hamming,0.004675625008530915,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Median,Memory
22,N/A,Hamming,0.0045523750013671815,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Vals,WdegOnDom
23,N/A,Hamming,0.004615916986949742,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Last,Memory
24,N/A,Hamming,0.004932166018988937,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Rand,Memory
25,N/A,Hamming,0.004619415965862572,,ExitStatus.UNKNOWN,100,True,5,NO,AC,True,False,False,Vals,Memory
26,N/A,Hamming,0.006742499943356961,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,RunRobin,Memory
27,N/A,Hamming,0.005345207988284528,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,False,False,Conflicts,Memory
28,N/A,Hamming,0.0046707079745829105,,ExitStatus.UNKNOWN,100,True,5,RST,BT,True,False,False,Vals,Memory
29,N/A,Hamming,0.006401457998435944,,ExitStatus.UNKNOWN,100,True,5,RST,AC,True,True,False,Vals,Memory
